Project Name,Site Name,Country,Taxonomic Group,Scientific Name,Vernacular Name,IUCN Threat Codes,Highest IUCN Threat Level
Space Eagle - Zambia,Katuba,Zambia,reptiles,Varanus niloticus,{Nile Monitor},{LC},LC
Space Eagle - Zambia,Katuba,Zambia,reptiles,Zygaspis quadrifrons,{Kalahari Round-snouted Worm Lizard},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Accipiter badius,{Shikra},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Accipiter melanoleucus,{Black Goshawk},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Accipiter minullus,{Little Sparrowhawk},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Accipiter rufiventris,{Rufous-chested Sparrowhawk},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Accipiter tachiro,{African Goshawk},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acridotheres tristis,{Common Mynah},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acrocephalus arundinaceus,{Great Reed-Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acrocephalus baeticatus,{African Reed-Warbler},,
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acrocephalus gracilirostris,{Lesser Swamp Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acrocephalus palustris,{Marsh Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Acrocephalus schoenobaenus,{Sedge Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Actitis hypoleucos,{Common Sandpiper},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Actophilornis africanus,{African Jacana},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Agricola pallidus,{Pale Flycatcher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Alcedo semitorquata,{Half-collared Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Alopochen aegyptiaca,{Egyptian Goose},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Amandava subflava,{Orangebreast},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Amblyospiza albifrons,{Grosbeak Weaver},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anas capensis,{Cape Teal},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anas erythrorhyncha,{Red-billed Teal},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anas sparsa,{African Black Duck},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anas undulata,{Yellow-billed Duck},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Andropadus importunus,{Sombre Greenbul},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anhinga rufa,{African Darter},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anthus leucophrys,{Plain-backed Pipit},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anthus lineiventris,{Striped Pipit},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Anthus similis,{Long-billed Pipit},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apalis thoracica,{Bar-throated Apalis},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apaloderma narina,{Narina Trogon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus affinis,{Little Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus apus,{Common Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus barbatus,{African Swift},"{DD,LC}",LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus caffer,{White-rumped Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus horus,{Horus Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Apus melba,{Alpine Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Aquila rapax,{Tawny Eagle},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Aquila verreauxii,{Verreaux's Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea alba,{Great Egret},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea cinerea,{Grey Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea goliath,{Goliath Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea intermedia,{Intermediate Egret},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea melanocephala,{Black-headed Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardea purpurea,{Purple Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardenna carneipes,{Flesh-footed Shearwater},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardenna grisea,{Sooty Shearwater},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardenna pacifica,{Wedge-tailed Shearwater},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardeola ralloides,{Squacco Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ardeola rufiventris,{Rufous-bellied Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Arenaria interpres,{Ruddy Turnstone},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Asio capensis,{Marsh Owl},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Aviceda cuculoides,{African Cuckoo-Hawk},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Balearica regulorum,{Grey Crowned Crane},{EN},EN
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Batis capensis,{Cape Batis},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Batis molitor,{Chinspot Batis},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bostrychia hagedash,{Hadada},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Botaurus stellaris,{Eurasian Bittern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bradypterus baboecala,{Little Rush-Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bradypterus sylvaticus,{Knysna Warbler},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bubo africanus,{Spotted Eagle-Owl},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bubo capensis,{Cape Eagle-Owl},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bubo lacteus,{Verreaux's Eagle-Owl},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bubulcus ibis,"{Cattle Egret,Tick Bird}",{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bucorvus leadbeateri,{Southern Ground-Hornbill},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Buphagus erythrorynchus,{Red-billed Oxpecker},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Burhinus capensis,{Spotted Thick-knee},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Burhinus vermiculatus,{Water Thick-knee},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Buteo buteo,{Common Buzzard},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Buteo rufofuscus,{Jackal Buzzard},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Butorides striata,{Striated Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Bycanistes bucinator,{Trumpeter Hornbill},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calandrella cinerea,{Red-capped Lark},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calendulauda sabota,{Sabota Lark},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris alba,{Sanderling},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris canutus,{Red Knot},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris falcinellus,{Broad-billed Sandpiper},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris ferruginea,{Curlew Sandpiper},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris minuta,{Little Stint},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Calidris pugnax,{Ruff},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Camaroptera brachyura,{Green-backed Camaroptera},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Campephaga flava,{Black Cuckoo-shrike},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Campethera abingoni,{Golden-tailed Woodpecker},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Campocolinus coqui,{Coqui Francolin},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Caprimulgus europaeus,{European Nightjar},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Caprimulgus pectoralis,{Fiery-necked Nightjar},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Caprimulgus tristigma,{Freckled Nightjar},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cecropis abyssinica,{Lesser Striped-Swallow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cecropis cucullata,{Greater Striped-Swallow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cecropis semirufa,{Rufous-chested Swallow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Centropus superciliosus,"{Burchell's Coucal,White-browed Coucal}",{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cercotrichas leucophrys,{Red-backed Scrub-Robin},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cercotrichas signata,{Brown Scrub-Robin},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ceryle rudis,{Pied Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ceuthmochares aereus,{Blue Malkoha},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chalcomitra amethystina,{Amethyst Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chalcomitra senegalensis,{Scarlet-chested Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius asiaticus,{Caspian Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius hiaticula,{Common Ringed Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius leschenaultii,{Greater Sandplover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius marginatus,{White-Fronted Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius mongolus,{Mongolian Plover},{EN},EN
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius pallidus,{Chestnut-Banded Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius pecuarius,{Kittlitz's Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Charadrius tricollaris,{Three-Banded Plover},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chlidonias hybrida,{Whiskered Tern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chlidonias leucopterus,{White-winged Tern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chlorocichla flaviventris,{Yellow-bellied Greenbul},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chloropicus fuscescens,{Cardinal Woodpecker},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chloropicus griseocephalus,{Olive Woodpecker},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chloropicus namaquus,{Bearded Woodpecker},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chroicocephalus cirrocephalus,{Grey-hooded Gull},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chrysococcyx caprius,{Dideric Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chrysococcyx cupreus,{African Emerald Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Chrysococcyx klaas,{Klaas's Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ciconia ciconia,{White Stork},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ciconia episcopus,{Asian Woolly-necked Stork},"{LC,NT}",NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ciconia nigra,{Black Stork},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cinnyricinclus leucogaster,{Violet-backed Starling},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cinnyris afer,{Greater Double-collared Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cinnyris bifasciatus,{Purple-banded Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cinnyris talatala,{White-breasted Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Circaetus cinereus,{Brown Snake Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Circaetus fasciolatus,{Fasciated Snake Eagle},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Circaetus pectoralis,{Black-breasted Snake Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Circus maurus,{Black Harrier},{EN},EN
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Circus ranivorus,{African Marsh-Harrier},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola aberrans,{Rock-loving Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola ayresii,{Wing-snapping Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola chiniana,{Rattling Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola erythrops,{Red-faced Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola fulvicapilla,{Piping Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola juncidis,{Zitting Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola lais,{Wailing Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola natalensis,{Croaking Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cisticola tinniens,{Levaillant's Cisticola},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Clamator glandarius,{Great Spotted Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Clamator jacobinus,{Jacobin Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coccopygia melanotis,{Common Swee Waxbill},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Colius striatus,{Speckled Mousebird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Columba arquatrix,{Rameron Pigeon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Columba delegorguei,{Delegorgue's Pigeon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Columba guinea,{Speckled Pigeon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Columba larvata,"{African Lemon Dove,Cinnamon Dove}",{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coracias caudatus,{Lilac-breasted Roller},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coracias garrulus,{European Roller},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coracina caesia,{Grey Cuckoo-Shrike},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Corvus albicollis,{White-necked Raven},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Corvus albus,{Pied Crow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Corvus capensis,{Cape Crow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Corythornis cristatus,{Malachite Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cossypha caffra,{Cape Robin-Chat},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cossypha dichroa,{Chorister Robin-Chat},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cossypha heuglini,{White-browed Robin-Chat},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cossypha humeralis,{White-Throated Robin-Chat},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cossypha natalensis,{Redcap Robinchat},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coturnix coturnix,{Common Quail},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Coturnix delegorguei,{Harlequin Quail},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Creatophora cinerea,{Wattled Starling},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crex crex,{Corn Crake},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crex egregia,{African Crake},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crithagra gularis,{Streaky-headed Seedeater},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crithagra mozambica,{Yellow-fronted Canary},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crithagra scotops,{Forest Canary},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Crithagra sulphurata,{Brimstone Canary},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cuculus canorus,{Common Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cuculus clamosus,{Black Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cuculus gularis,{African Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cuculus solitarius,{Red-chested Cuckoo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cursorius temminckii,{Temminck's Courser},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cyanomitra veroxii,{Mouse-colored Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Cypsiurus parvus,{African Palm-Swift},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Daption capense,{Cape Petrel},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Delichon urbicum,{House Martin},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Dendrocygna bicolor,{Fulvous Whistling-Duck},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Dendrocygna viduata,{White-faced Whistling Duck},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Dicrurus adsimilis,{Fork-tailed Drongo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Dicrurus ludwigii,{Common Square-tailed Drongo},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Dryoscopus cubla,{Black-backed Puffback},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Egretta ardesiaca,{Black Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Egretta garzetta,{Little Egret},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Elanus caeruleus,{Black-winged Kite},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Emberiza flaviventris,{Golden-breasted Bunting},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Eremomela scotops,{Greencap Eremomela},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Estrilda astrild,{Common Waxbill},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Euplectes albonotatus,{White-winged Widowbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Euplectes ardens,{Red-collared Widowbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Euplectes axillaris,{Fan-tailed Widowbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Euplectes orix,{Red Bishop},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Euplectes progne,{Long-tailed Widow-bird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Eurystomus glaucurus,{Broad-billed Roller},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco amurensis,{Amur Falcon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco biarmicus,{Lanner Falcon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco concolor,{Sooty Falcon},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco cuvierii,{African Hobby},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco peregrinus,{Peregrine Falcon},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco subbuteo,{Eurasian Hobby},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Falco tinnunculus,{Common Kestrel},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Fraseria caerulescens,{Ashy Flycatcher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Fregetta grallaria,{White-bellied Storm Petrel},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Fulica cristata,{Red-knobbed Coot},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gallinago media,{Great Snipe},{NT},NT
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gallinago nigripennis,{African Snipe},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gallinula chloropus,{Common Moorhen},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Geokichla guttata,{Spotted Ground-Thrush},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Glareola pratincola,{Collared Pratincole},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Glaucestrilda perreini,{Lavender Waxbill},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Glaucidium capense,{African Barred Owlet},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Glaucidium perlatum,{Pearl-spotted Owlet},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gorsachius leuconotus,{White-Backed Night-Heron},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gymnoris superciliaris,{Yellow-throated Sparrow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gypohierax angolensis,{Palmnut Vulture},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gyps africanus,{White-backed Vulture},{CR},CR
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Gyps coprotheres,{Cape Griffon},{VU},VU
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Halcyon albiventris,{Brown-hooded Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Halcyon chelicuti,{Striped Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Halcyon senegaloides,{Mangrove Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Haliaeetus vocifer,{African Fish-Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hedydipna collaris,{Collared Sunbird},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hieraaetus ayresii,{Ayres's Hawk-Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hieraaetus pennatus,{Booted Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hieraaetus wahlbergi,{Wahlberg's Eagle},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Himantopus himantopus,{Black-winged Stilt},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hippolais icterina,{Icterine Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hirundo albigularis,{White-throated Swallow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hirundo rustica,{Barn Swallow},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hydrobates pelagicus,{European Storm Petrel},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Hydroprogne caspia,{Caspian Tern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Iduna natalensis,{African Yellow-Warbler},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Indicator indicator,{Greater Honeyguide},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Indicator minor,{Lesser Honeyguide},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Indicator variegatus,{Scaly-throated Honeyguide},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ispidina picta,{African Pygmy-Kingfisher},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ixobrychus minutus,{Little Bittern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Ixobrychus sturmii,{African Dwarf Bittern},{LC},LC
Space Eagle - KwaDukuza,KwaDukuza,South Africa,birds,Jynx ruficollis,{Rufous-necked Wryneck},{LC},LC
