Project Name,Site Name,Year,Species Habitat Index (SHI),Species Habitat Index (SHI) - Birds,Species Habitat Index (SHI) - Mammals,Species Habitat Index (SHI) - Reptiles,Species Habitat Index (SHI) - Global,"Species Habitat Index (SHI) - Birds, Global","Species Habitat Index (SHI) - Mammals, Global","Species Habitat Index (SHI) - Reptiles, Global"
Space Eagle - KwaDukuza,KwaDukuza,2001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Space Eagle - KwaDukuza,KwaDukuza,2002,99.593569219118,99.6520003350064,99.4868749539693,99.4146487010551,100.095727431853,100.118475287463,100.099199220443,99.9855196884725
Space Eagle - KwaDukuza,KwaDukuza,2003,99.5738196462756,99.6368667626017,99.4670054295335,99.3699517751666,100.108270207114,100.112922291898,100.21324508504,99.9665721484583
Space Eagle - KwaDukuza,KwaDukuza,2004,99.3401349595598,99.5336589056545,98.9674885384525,98.7726336363485,100.141477919943,100.153241166412,100.30798651073,99.896244148611
Space Eagle - KwaDukuza,KwaDukuza,2005,98.8163809708264,98.9154990100607,98.6913818317487,98.4400118836533,100.148935610396,100.159562502798,100.346727043209,99.8732571677241
Space Eagle - KwaDukuza,KwaDukuza,2006,98.5497509948378,98.6769735086578,98.37767711481,98.0818014142359,100.130847875504,100.143042776557,100.356381170335,99.8161413303378
Space Eagle - KwaDukuza,KwaDukuza,2007,98.1657891033455,98.3066576051255,97.9835059369935,97.6369138375475,100.133899507027,100.162433302958,100.371786407139,99.7287665302983
Space Eagle - KwaDukuza,KwaDukuza,2008,97.6751089586146,97.9670077022414,97.2449041788615,96.647515162131,100.165793650886,100.202346571023,100.418518062828,99.7062515640696
Space Eagle - KwaDukuza,KwaDukuza,2009,97.1127881694647,97.6102618574039,96.2029828534052,95.5913422915711,100.15685552896,100.213055680179,100.415287815957,99.5990311101043
Space Eagle - KwaDukuza,KwaDukuza,2010,96.6292261936272,97.1294072111264,95.7306155881527,95.0784884343518,100.111628183515,100.19076796611,100.354066432688,99.4649470239915
Space Eagle - KwaDukuza,KwaDukuza,2011,96.4758462534334,97.0068606874825,95.5112562950243,94.8432889346851,100.079761304278,100.172585207621,100.322630641415,99.3686781176535
Space Eagle - KwaDukuza,KwaDukuza,2012,96.4078285231175,96.9361952594738,95.4493390788413,94.7817313021965,100.007245228451,100.115276222009,100.238904015883,99.2379519739975
Space Eagle - KwaDukuza,KwaDukuza,2013,96.1665340749014,96.7008250137042,95.201499080794,94.516737112374,99.8877998976083,99.992358294637,100.159836689633,99.088578522797
Space Eagle - KwaDukuza,KwaDukuza,2014,95.261971737505,95.6599170144038,94.3933255813629,94.2282335170209,99.7937348475627,99.9025605589742,100.094917527098,98.9412741220516
Space Eagle - KwaDukuza,KwaDukuza,2015,95.1856154188123,95.6100888719915,94.2688769445816,94.070193420727,99.7009513477208,99.8048422271532,100.028390338364,98.8415307017243
Space Eagle - KwaDukuza,KwaDukuza,2016,94.9174149405446,95.3623397752717,93.936305640066,93.7745412988847,99.529395331243,99.6265217555986,99.8848826327678,98.6695117080589
Space Eagle - KwaDukuza,KwaDukuza,2017,94.8997177952356,95.3141044341995,93.9734057020585,93.8516103045943,99.4079877627463,99.5146713667937,99.7813092193534,98.4830870681608
Space Eagle - KwaDukuza,KwaDukuza,2018,94.8970562800937,95.3103865029838,93.9626503879052,93.8652269824298,99.1306795491872,99.2249823342581,99.5424650300848,98.2196424759075
Space Eagle - KwaDukuza,KwaDukuza,2019,94.8016631124283,95.2868803813331,93.7625308727952,93.5151741673587,98.8025560636524,98.8955114474335,99.2458671530709,97.861782531713
Space Eagle - KwaDukuza,KwaDukuza,2020,94.3923618804666,94.936147629105,93.1906057127097,92.9989905616644,98.5903712937162,98.6855195457392,99.055591321622,97.614317557321
Space Eagle - KwaDukuza,KwaDukuza,2021,94.2221174183456,94.8360464166227,92.8987218391564,92.6055799896739,98.2312741623314,98.3051947518739,98.7432881282808,97.3008818215151
Space Eagle - KwaDukuza,KwaDukuza,2022,94.0913685785541,94.7361146546549,92.7319582716947,92.3541053859463,97.9378168751297,97.9985218292756,98.4730433440598,97.0426173335829
Space Eagle - KwaDukuza,KwaDukuza,2023,94.0982384595611,94.7459276239992,92.7398763921347,92.3436055571442,97.9067529445833,97.9849828802637,98.4188618191892,96.9561260696033
Space Eagle - Zambia,Katuba,2001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Space Eagle - Zambia,Katuba,2002,100.077128459586,100.158818607121,99.888543603696,99.8982458125274,100.127233214842,100.137021351694,100.134914217474,100.06456502392
Space Eagle - Zambia,Katuba,2003,100.063007708351,100.133163002614,99.8953208184889,99.9191259076176,100.180729764084,100.164253526482,100.269370175314,100.134447403726
Space Eagle - Zambia,Katuba,2004,99.9604354949097,100.041235872602,99.7612798785721,99.8049634476506,100.258366888179,100.224168136646,100.417400428693,100.199586102898
Space Eagle - Zambia,Katuba,2005,99.7726795916695,99.861466451812,99.5118587507523,99.6732067906434,100.278010094442,100.231901040808,100.480234123964,100.216981307842
Space Eagle - Zambia,Katuba,2006,100.000026572781,100.122319986462,99.6546670640065,99.8394008654794,100.275078032558,100.216100039165,100.517888532447,100.220705871735
Space Eagle - Zambia,Katuba,2007,100.205349447537,100.301003518669,99.9099045593121,100.124115923618,100.302276932943,100.244670175698,100.559717488274,100.218872362294
Space Eagle - Zambia,Katuba,2008,100.221632040003,100.242721725859,100.127285068847,100.253374807251,100.364612723814,100.303789094565,100.653159771773,100.251551057995
Space Eagle - Zambia,Katuba,2009,100.238581598647,100.228766689438,100.253527490613,100.273044528476,100.377094099917,100.317402372262,100.675887689241,100.242801794989
Space Eagle - Zambia,Katuba,2010,100.184627876982,100.179669195751,100.184088712105,100.215792412785,100.309868953422,100.268277955777,100.584650400584,100.116792123502
Space Eagle - Zambia,Katuba,2011,100.302854906878,100.340838418608,100.215482184471,100.219689113421,100.25369379427,100.223086731462,100.521161726719,100.014100488056
Space Eagle - Zambia,Katuba,2012,100.28632696046,100.330299335707,100.187707680405,100.185748247549,100.168551254029,100.147094684961,100.420906890447,99.9036835091078
Space Eagle - Zambia,Katuba,2013,100.293700867243,100.329103073943,100.226671748682,100.191696907928,100.055111016371,100.024123682839,100.336496380299,99.7967103203553
Space Eagle - Zambia,Katuba,2014,100.262048195986,100.298359024757,100.181198610976,100.177996434999,99.9755917283912,99.9348934404135,100.287608891063,99.7222065546263
Space Eagle - Zambia,Katuba,2015,100.252957606651,100.290109109161,100.187717187695,100.137242153561,99.8840116095218,99.8319003899774,100.220804098578,99.6532941533772
