Project Name,Site Name,SHI Change Since 2001,SHI Change Since 2001 - Birds,SHI Change Since 2001 - Mammals,SHI Change Since 2001 - Reptiles,SHI Change Since 2001 - Global,"SHI Change Since 2001 - Birds, Global","SHI Change Since 2001 - Mammals, Global","SHI Change Since 2001 - Reptiles, Global"
Space Eagle - KwaDukuza,KwaDukuza,-5.90176154043894,-5.25407237600081,-7.26012360786534,-7.65639444285581,-2.09324705541664,-2.01501711973624,-1.58113818081081,-3.04387393039667
Space Eagle - Zambia,Katuba,-0.871068980945807,-1.0712819497779,-0.0651696425963877,-1.01979874626407,-2.15909131267657,-2.1934348411568,-1.76887601539902,-2.5625589355223
